longitude,latitude,deltaT(C),deltaRHO(kg/m3)
-8.062500,50.987500,0.156749,0.024068
-8.062500,51.012500,0.159212,0.024265
-8.062500,51.037500,0.165854,0.024986
-8.062500,51.062500,0.177579,0.026337
-8.062500,51.087500,0.191156,0.027850
-8.062500,51.112500,0.199550,0.028446
-8.062500,51.137500,0.204945,0.028423
-8.062500,51.162500,0.203161,0.028446
-8.062500,51.187500,0.194899,0.029102
-8.062500,51.212500,0.188479,0.029356
-8.062500,51.237500,0.187917,0.028900
-8.062500,51.262500,0.191398,0.028143
-8.062500,51.287500,0.194384,0.027707
-8.062500,51.312500,0.199594,0.028710
-8.062500,51.337500,0.206484,0.030473
-8.062500,51.362500,0.204405,0.030338
-8.062500,51.387500,0.199700,0.028810
-8.062500,51.412500,0.194561,0.026725
-8.062500,51.437500,0.189239,0.025017
-8.062500,51.462500,0.192581,0.026201
-8.062500,51.487500,0.198113,0.030511
-8.062500,51.512500,0.202727,0.035909
-8.062500,51.537500,0.213645,0.046508
-8.062500,51.562500,0.210135,0.061042
-8.062500,51.587500,0.203554,0.074403
-8.062500,51.612500,0.189791,0.097406
-8.062500,51.637500,0.234542,0.112818
-8.062500,51.662500,0.252412,0.135690
-8.062500,51.687500,0.231193,0.188172
-8.062500,51.712500,0.177056,0.327846
-8.062500,51.737500,0.106641,0.457206
-8.062500,51.762500,-0.056340,0.770168
-8.062500,51.787500,-0.175611,1.718598
-8.062500,51.812500,-9999.000000,-9999.000000
-8.062500,51.837500,-9999.000000,-9999.000000
-8.062500,51.862500,-9999.000000,-9999.000000
-8.062500,51.887500,-9999.000000,-9999.000000
-8.062500,51.912500,-9999.000000,-9999.000000
-8.062500,51.937500,-9999.000000,-9999.000000
-8.062500,51.962500,-9999.000000,-9999.000000
-8.062500,51.987500,-9999.000000,-9999.000000
-8.062500,52.012500,-9999.000000,-9999.000000
-8.062500,52.037500,-9999.000000,-9999.000000
-8.062500,52.062500,-9999.000000,-9999.000000
-8.062500,52.087500,-9999.000000,-9999.000000
-8.062500,52.112500,-9999.000000,-9999.000000
-8.062500,52.137500,-9999.000000,-9999.000000
-8.062500,52.162500,-9999.000000,-9999.000000
-8.062500,52.187500,-9999.000000,-9999.000000
-8.062500,52.212500,-9999.000000,-9999.000000
-8.062500,52.237500,-9999.000000,-9999.000000
-8.062500,52.262500,-9999.000000,-9999.000000
-8.062500,52.287500,-9999.000000,-9999.000000
-8.062500,52.312500,-9999.000000,-9999.000000
-8.062500,52.337500,-9999.000000,-9999.000000
-8.062500,52.362500,-9999.000000,-9999.000000
-8.062500,52.387500,-9999.000000,-9999.000000
-8.062500,52.412500,-9999.000000,-9999.000000
-8.062500,52.437500,-9999.000000,-9999.000000
-8.062500,52.462500,-9999.000000,-9999.000000
-8.062500,52.487500,-9999.000000,-9999.000000
-8.062500,52.512500,-9999.000000,-9999.000000
-8.062500,52.537500,-9999.000000,-9999.000000
-8.062500,52.562500,-9999.000000,-9999.000000
-8.062500,52.587500,-9999.000000,-9999.000000
-8.062500,52.612500,-9999.000000,-9999.000000
-8.062500,52.637500,-9999.000000,-9999.000000
-8.062500,52.662500,-9999.000000,-9999.000000
-8.062500,52.687500,-9999.000000,-9999.000000
-8.062500,52.712500,-9999.000000,-9999.000000
-8.062500,52.737500,-9999.000000,-9999.000000
-8.062500,52.762500,-9999.000000,-9999.000000
-8.062500,52.787500,-9999.000000,-9999.000000
-8.062500,52.812500,-9999.000000,-9999.000000
-8.062500,52.837500,-9999.000000,-9999.000000
-8.062500,52.862500,-9999.000000,-9999.000000
-8.062500,52.887500,-9999.000000,-9999.000000
-8.062500,52.912500,-9999.000000,-9999.000000
-8.062500,52.937500,-9999.000000,-9999.000000
-8.062500,52.962500,-9999.000000,-9999.000000
-8.062500,52.987500,-9999.000000,-9999.000000
-8.062500,53.012500,-9999.000000,-9999.000000
-8.062500,53.037500,-9999.000000,-9999.000000
-8.062500,53.062500,-9999.000000,-9999.000000
-8.062500,53.087500,-9999.000000,-9999.000000
-8.062500,53.112500,-9999.000000,-9999.000000
-8.062500,53.137500,-9999.000000,-9999.000000
-8.062500,53.162500,-9999.000000,-9999.000000
-8.062500,53.187500,-9999.000000,-9999.000000
-8.062500,53.212500,-9999.000000,-9999.000000
-8.062500,53.237500,-9999.000000,-9999.000000
-8.062500,53.262500,-9999.000000,-9999.000000
-8.062500,53.287500,-9999.000000,-9999.000000
-8.062500,53.312500,-9999.000000,-9999.000000
-8.062500,53.337500,-9999.000000,-9999.000000
-8.062500,53.362500,-9999.000000,-9999.000000
-8.062500,53.387500,-9999.000000,-9999.000000
-8.062500,53.412500,-9999.000000,-9999.000000
-8.062500,53.437500,-9999.000000,-9999.000000
-8.062500,53.462500,-9999.000000,-9999.000000
-8.062500,53.487500,-9999.000000,-9999.000000
-8.062500,53.512500,-9999.000000,-9999.000000
-8.062500,53.537500,-9999.000000,-9999.000000
-8.062500,53.562500,-9999.000000,-9999.000000
-8.062500,53.587500,-9999.000000,-9999.000000
-8.062500,53.612500,-9999.000000,-9999.000000
-8.062500,53.637500,-9999.000000,-9999.000000
-8.062500,53.662500,-9999.000000,-9999.000000
-8.062500,53.687500,-9999.000000,-9999.000000
-8.062500,53.712500,-9999.000000,-9999.000000
-8.062500,53.737500,-9999.000000,-9999.000000
-8.062500,53.762500,-9999.000000,-9999.000000
-8.062500,53.787500,-9999.000000,-9999.000000
-8.062500,53.812500,-9999.000000,-9999.000000
-8.062500,53.837500,-9999.000000,-9999.000000
-8.062500,53.862500,-9999.000000,-9999.000000
-8.062500,53.887500,-9999.000000,-9999.000000
-8.062500,53.912500,-9999.000000,-9999.000000
-8.062500,53.937500,-9999.000000,-9999.000000
-8.062500,53.962500,-9999.000000,-9999.000000
-8.062500,53.987500,-9999.000000,-9999.000000
-8.062500,54.012500,-9999.000000,-9999.000000
-8.062500,54.037500,-9999.000000,-9999.000000
-8.062500,54.062500,-9999.000000,-9999.000000
-8.062500,54.087500,-9999.000000,-9999.000000
-8.062500,54.112500,-9999.000000,-9999.000000
-8.062500,54.137500,-9999.000000,-9999.000000
-8.062500,54.162500,-9999.000000,-9999.000000
-8.062500,54.187500,-9999.000000,-9999.000000
-8.062500,54.212500,-9999.000000,-9999.000000
-8.062500,54.237500,-9999.000000,-9999.000000
-8.062500,54.262500,-9999.000000,-9999.000000
-8.062500,54.287500,-9999.000000,-9999.000000
-8.062500,54.312500,-9999.000000,-9999.000000
-8.062500,54.337500,-9999.000000,-9999.000000
-8.062500,54.362500,-9999.000000,-9999.000000
-8.062500,54.387500,-9999.000000,-9999.000000
-8.062500,54.412500,-9999.000000,-9999.000000
-8.062500,54.437500,-9999.000000,-9999.000000
-8.062500,54.462500,-9999.000000,-9999.000000
-8.062500,54.487500,-9999.000000,-9999.000000
-8.062500,54.512500,-9999.000000,-9999.000000
-8.062500,54.537500,-9999.000000,-9999.000000
-8.062500,54.562500,-9999.000000,-9999.000000
-8.062500,54.587500,-9999.000000,-9999.000000
-8.062500,54.612500,-9999.000000,-9999.000000
-8.062500,54.637500,-9999.000000,-9999.000000
-8.062500,54.662500,-9999.000000,-9999.000000
-8.062500,54.687500,-9999.000000,-9999.000000
-8.062500,54.712500,-9999.000000,-9999.000000
-8.062500,54.737500,-9999.000000,-9999.000000
-8.062500,54.762500,-9999.000000,-9999.000000
-8.062500,54.787500,-9999.000000,-9999.000000
-8.062500,54.812500,-9999.000000,-9999.000000
-8.062500,54.837500,-9999.000000,-9999.000000
-8.062500,54.862500,-9999.000000,-9999.000000
-8.062500,54.887500,-9999.000000,-9999.000000
-8.062500,54.912500,-9999.000000,-9999.000000
-8.062500,54.937500,-9999.000000,-9999.000000
-8.062500,54.962500,-9999.000000,-9999.000000
-8.062500,54.987500,-9999.000000,-9999.000000
-8.062500,55.012500,-9999.000000,-9999.000000
-8.062500,55.037500,-9999.000000,-9999.000000
-8.062500,55.062500,-9999.000000,-9999.000000
-8.062500,55.087500,-9999.000000,-9999.000000
-8.062500,55.112500,-9999.000000,-9999.000000
-8.062500,55.137500,-9999.000000,-9999.000000
-8.062500,55.162500,-9999.000000,-9999.000000
-8.062500,55.187500,0.107819,0.089951
-8.062500,55.212500,0.095966,0.069294
-8.062500,55.237500,0.084545,0.074419
-8.062500,55.262500,0.125171,0.104025
-8.062500,55.287500,0.054952,0.133938
-8.062500,55.312500,0.064001,0.117661
-8.062500,55.337500,0.035164,0.101487
-8.062500,55.362500,0.013396,0.092214
-8.062500,55.387500,0.028728,0.081415
-8.062500,55.412500,0.016965,0.073749
-8.062500,55.437500,0.020416,0.062269
-8.062500,55.462500,0.042754,0.046082
-8.062500,55.487500,0.053018,0.033421
-8.062500,55.512500,0.087375,0.022648
-8.062500,55.537500,0.114432,0.017556
-8.062500,55.562500,0.124972,0.017035
-8.062500,55.587500,0.137033,0.016529
-8.062500,55.612500,0.142561,0.017613
-8.062500,55.637500,0.125138,0.018580
-8.062500,55.662500,0.110239,0.016679
-8.062500,55.687500,0.106247,0.016494
-8.062500,55.712500,0.111269,0.017823
-8.062500,55.737500,0.137297,0.018435
-8.062500,55.762500,0.131266,0.017341
-8.062500,55.787500,0.125992,0.016631
-8.062500,55.812500,0.215404,0.021902
-8.062500,55.837500,0.312033,0.028665
-8.062500,55.862500,0.340133,0.028957
-8.062500,55.887500,0.228354,0.023538
-8.062500,55.912500,0.203145,0.027736
-8.062500,55.937500,0.218051,0.033933
-8.062500,55.962500,0.203009,0.032560
-8.062500,55.987500,0.196013,0.030329
-8.062500,56.012500,0.191697,0.027110
-8.062500,56.037500,0.171132,0.023178
-8.037500,50.962500,0.153951,0.023807
-8.037500,50.987500,0.156370,0.024016
-8.037500,51.012500,0.159300,0.024254
-8.037500,51.037500,0.164966,0.024938
-8.037500,51.062500,0.176968,0.026477
-8.037500,51.087500,0.189914,0.028020
-8.037500,51.112500,0.198158,0.028569
-8.037500,51.137500,0.201753,0.028527
-8.037500,51.162500,0.200151,0.028987
-8.037500,51.187500,0.192779,0.030173
-8.037500,51.212500,0.185976,0.030428
-8.037500,51.237500,0.181885,0.029104
-8.037500,51.262500,0.182860,0.027519
-8.037500,51.287500,0.188707,0.026984
-8.037500,51.312500,0.198110,0.027994
-8.037500,51.337500,0.202561,0.029777
-8.037500,51.362500,0.200266,0.029992
-8.037500,51.387500,0.196796,0.028587
-8.037500,51.412500,0.191303,0.026487
-8.037500,51.437500,0.183965,0.024637
-8.037500,51.462500,0.184448,0.025180
-8.037500,51.487500,0.189543,0.028724
-8.037500,51.512500,0.191434,0.033071
-8.037500,51.537500,0.197150,0.040655
-8.037500,51.562500,0.202251,0.053578
-8.037500,51.587500,0.209568,0.066758
-8.037500,51.612500,0.187416,0.092323
-8.037500,51.637500,0.211412,0.115475
-8.037500,51.662500,0.247533,0.134785
-8.037500,51.687500,0.252499,0.182895
-8.037500,51.712500,0.194453,0.296410
-8.037500,51.737500,0.120210,0.458703
-8.037500,51.762500,-0.007121,0.683043
-8.037500,51.787500,-0.142869,1.407337
-8.037500,51.812500,-9999.000000,-9999.000000
-8.037500,51.837500,-9999.000000,-9999.000000
-8.037500,51.862500,-9999.000000,-9999.000000
-8.037500,51.887500,-9999.000000,-9999.000000
-8.037500,51.912500,-9999.000000,-9999.000000
-8.037500,51.937500,-9999.000000,-9999.000000
-8.037500,51.962500,-9999.000000,-9999.000000
-8.037500,51.987500,-9999.000000,-9999.000000
-8.037500,52.012500,-9999.000000,-9999.000000
-8.037500,52.037500,-9999.000000,-9999.000000
-8.037500,52.062500,-9999.000000,-9999.000000
-8.037500,52.087500,-9999.000000,-9999.000000
-8.037500,52.112500,-9999.000000,-9999.000000
-8.037500,52.137500,-9999.000000,-9999.000000
-8.037500,52.162500,-9999.000000,-9999.000000
-8.037500,52.187500,-9999.000000,-9999.000000
-8.037500,52.212500,-9999.000000,-9999.000000
-8.037500,52.237500,-9999.000000,-9999.000000
-8.037500,52.262500,-9999.000000,-9999.000000
-8.037500,52.287500,-9999.000000,-9999.000000
-8.037500,52.312500,-9999.000000,-9999.000000
-8.037500,52.337500,-9999.000000,-9999.000000
-8.037500,52.362500,-9999.000000,-9999.000000
-8.037500,52.387500,-9999.000000,-9999.000000
-8.037500,52.412500,-9999.000000,-9999.000000
-8.037500,52.437500,-9999.000000,-9999.000000
-8.037500,52.462500,-9999.000000,-9999.000000
-8.037500,52.487500,-9999.000000,-9999.000000
-8.037500,52.512500,-9999.000000,-9999.000000
-8.037500,52.537500,-9999.000000,-9999.000000
-8.037500,52.562500,-9999.000000,-9999.000000
-8.037500,52.587500,-9999.000000,-9999.000000
-8.037500,52.612500,-9999.000000,-9999.000000
-8.037500,52.637500,-9999.000000,-9999.000000
-8.037500,52.662500,-9999.000000,-9999.000000
-8.037500,52.687500,-9999.000000,-9999.000000
-8.037500,52.712500,-9999.000000,-9999.000000
-8.037500,52.737500,-9999.000000,-9999.000000
-8.037500,52.762500,-9999.000000,-9999.000000
-8.037500,52.787500,-9999.000000,-9999.000000
-8.037500,52.812500,-9999.000000,-9999.000000
-8.037500,52.837500,-9999.000000,-9999.000000
-8.037500,52.862500,-9999.000000,-9999.000000
-8.037500,52.887500,-9999.000000,-9999.000000
-8.037500,52.912500,-9999.000000,-9999.000000
-8.037500,52.937500,-9999.000000,-9999.000000
-8.037500,52.962500,-9999.000000,-9999.000000
-8.037500,52.987500,-9999.000000,-9999.000000
-8.037500,53.012500,-9999.000000,-9999.000000
-8.037500,53.037500,-9999.000000,-9999.000000
-8.037500,53.062500,-9999.000000,-9999.000000
-8.037500,53.087500,-9999.000000,-9999.000000
-8.037500,53.112500,-9999.000000,-9999.000000
-8.037500,53.137500,-9999.000000,-9999.000000
-8.037500,53.162500,-9999.000000,-9999.000000
-8.037500,53.187500,-9999.000000,-9999.000000
-8.037500,53.212500,-9999.000000,-9999.000000
-8.037500,53.237500,-9999.000000,-9999.000000
-8.037500,53.262500,-9999.000000,-9999.000000
-8.037500,53.287500,-9999.000000,-9999.000000
-8.037500,53.312500,-9999.000000,-9999.000000
-8.037500,53.337500,-9999.000000,-9999.000000
-8.037500,53.362500,-9999.000000,-9999.000000
-8.037500,53.387500,-9999.000000,-9999.000000
-8.037500,53.412500,-9999.000000,-9999.000000
-8.037500,53.437500,-9999.000000,-9999.000000
-8.037500,53.462500,-9999.000000,-9999.000000
-8.037500,53.487500,-9999.000000,-9999.000000
-8.037500,53.512500,-9999.000000,-9999.000000
-8.037500,53.537500,-9999.000000,-9999.000000
-8.037500,53.562500,-9999.000000,-9999.000000
-8.037500,53.587500,-9999.000000,-9999.000000
-8.037500,53.612500,-9999.000000,-9999.000000
-8.037500,53.637500,-9999.000000,-9999.000000
-8.037500,53.662500,-9999.000000,-9999.000000
-8.037500,53.687500,-9999.000000,-9999.000000
-8.037500,53.712500,-9999.000000,-9999.000000
-8.037500,53.737500,-9999.000000,-9999.000000
-8.037500,53.762500,-9999.000000,-9999.000000
-8.037500,53.787500,-9999.000000,-9999.000000
-8.037500,53.812500,-9999.000000,-9999.000000
-8.037500,53.837500,-9999.000000,-9999.000000
-8.037500,53.862500,-9999.000000,-9999.000000
