longitude,latitude,deltaT(C),deltaRHO(kg/m3)
-8.062500,53.512500,-9999.000000,-9999.000000
-8.062500,53.537500,-9999.000000,-9999.000000
-8.062500,53.562500,-9999.000000,-9999.000000
-8.062500,53.587500,-9999.000000,-9999.000000
-8.062500,53.612500,-9999.000000,-9999.000000
-8.062500,53.637500,-9999.000000,-9999.000000
-8.062500,53.662500,-9999.000000,-9999.000000
-8.062500,53.687500,-9999.000000,-9999.000000
-8.062500,53.712500,-9999.000000,-9999.000000
-8.062500,53.737500,-9999.000000,-9999.000000
-8.062500,53.762500,-9999.000000,-9999.000000
-8.062500,53.787500,-9999.000000,-9999.000000
-8.062500,53.812500,-9999.000000,-9999.000000
-8.062500,53.837500,-9999.000000,-9999.000000
-8.062500,53.862500,-9999.000000,-9999.000000
-8.062500,53.887500,-9999.000000,-9999.000000
-8.062500,53.912500,-9999.000000,-9999.000000
-8.062500,53.937500,-9999.000000,-9999.000000
-8.062500,53.962500,-9999.000000,-9999.000000
-8.062500,53.987500,-9999.000000,-9999.000000
-8.062500,54.012500,-9999.000000,-9999.000000
-8.062500,54.037500,-9999.000000,-9999.000000
-8.062500,54.062500,-9999.000000,-9999.000000
-8.062500,54.087500,-9999.000000,-9999.000000
-8.062500,54.112500,-9999.000000,-9999.000000
-8.062500,54.137500,-9999.000000,-9999.000000
-8.062500,54.162500,-9999.000000,-9999.000000
-8.062500,54.187500,-9999.000000,-9999.000000
-8.062500,54.212500,-9999.000000,-9999.000000
-8.062500,54.237500,-9999.000000,-9999.000000
-8.062500,54.262500,-9999.000000,-9999.000000
-8.062500,54.287500,-9999.000000,-9999.000000
-8.062500,54.312500,-9999.000000,-9999.000000
-8.062500,54.337500,-9999.000000,-9999.000000
-8.062500,54.362500,-9999.000000,-9999.000000
-8.062500,54.387500,-9999.000000,-9999.000000
-8.062500,54.412500,-9999.000000,-9999.000000
-8.062500,54.437500,-9999.000000,-9999.000000
-8.062500,54.462500,-9999.000000,-9999.000000
-8.062500,54.487500,-9999.000000,-9999.000000
-8.062500,54.512500,-9999.000000,-9999.000000
-8.062500,54.537500,-9999.000000,-9999.000000
-8.062500,54.562500,-9999.000000,-9999.000000
-8.062500,54.587500,-9999.000000,-9999.000000
-8.062500,54.612500,-9999.000000,-9999.000000
-8.062500,54.637500,-9999.000000,-9999.000000
-8.062500,54.662500,-9999.000000,-9999.000000
-8.062500,54.687500,-9999.000000,-9999.000000
-8.062500,54.712500,-9999.000000,-9999.000000
-8.062500,54.737500,-9999.000000,-9999.000000
-8.062500,54.762500,-9999.000000,-9999.000000
-8.062500,54.787500,-9999.000000,-9999.000000
-8.062500,54.812500,-9999.000000,-9999.000000
-8.062500,54.837500,-9999.000000,-9999.000000
-8.062500,54.862500,-9999.000000,-9999.000000
-8.062500,54.887500,-9999.000000,-9999.000000
-8.062500,54.912500,-9999.000000,-9999.000000
-8.062500,54.937500,-9999.000000,-9999.000000
-8.062500,54.962500,-9999.000000,-9999.000000
-8.062500,54.987500,-9999.000000,-9999.000000
-8.062500,55.012500,-9999.000000,-9999.000000
-8.062500,55.037500,-9999.000000,-9999.000000
-8.062500,55.062500,-9999.000000,-9999.000000
-8.062500,55.087500,-9999.000000,-9999.000000
-8.062500,55.112500,-9999.000000,-9999.000000
-8.062500,55.137500,-9999.000000,-9999.000000
-8.062500,55.162500,-9999.000000,-9999.000000
-8.062500,55.187500,-0.063401,0.028093
-8.062500,55.212500,0.008824,0.005792
-8.062500,55.237500,0.001513,0.006570
-8.062500,55.262500,-0.009228,0.006195
-8.062500,55.287500,0.009599,0.006036
-8.062500,55.312500,-0.002012,0.005329
-8.062500,55.337500,0.000596,0.004586
-8.062500,55.362500,-0.000841,0.004383
-8.062500,55.387500,-0.004772,0.004223
-8.062500,55.412500,0.002193,0.004090
-8.062500,55.437500,0.016744,0.003496
-8.062500,55.462500,0.015965,0.003972
-8.062500,55.487500,0.013763,0.004072
-8.062500,55.512500,0.011988,0.004216
-8.062500,55.537500,0.008330,0.004020
-8.062500,55.562500,0.004620,0.003231
-8.062500,55.587500,0.005268,0.003359
-8.062500,55.612500,0.010283,0.003893
-8.062500,55.637500,0.013456,0.003312
-8.062500,55.662500,0.012596,0.002540
-8.062500,55.687500,0.009318,0.002539
-8.062500,55.712500,-0.003823,0.002188
