longitude,latitude,deltaT(C),deltaRHO(kg/m3)
-8.062500,50.987500,4.513401,1.183875
-8.062500,51.012500,4.524247,1.197373
-8.062500,51.037500,4.526559,1.212753
-8.062500,51.062500,4.523013,1.230821
-8.062500,51.087500,4.512667,1.244505
-8.062500,51.112500,4.510594,1.253532
-8.062500,51.137500,4.519381,1.258529
-8.062500,51.162500,4.523035,1.256524
-8.062500,51.187500,4.540007,1.253478
-8.062500,51.212500,4.569576,1.249471
-8.062500,51.237500,4.605605,1.245449
-8.062500,51.262500,4.652915,1.243876
-8.062500,51.287500,4.697112,1.242537
-8.062500,51.312500,4.745890,1.242052
-8.062500,51.337500,4.760893,1.238580
-8.062500,51.362500,4.761791,1.234558
-8.062500,51.387500,4.769610,1.231202
-8.062500,51.412500,4.780419,1.225704
-8.062500,51.437500,4.796419,1.216076
-8.062500,51.462500,4.796999,1.202218
-8.062500,51.487500,4.785576,1.184368
-8.062500,51.512500,4.759100,1.160640
-8.062500,51.537500,4.700652,1.135924
-8.062500,51.562500,4.654551,1.106507
-8.062500,51.587500,4.601701,1.076770
-8.062500,51.612500,4.522691,1.047831
-8.062500,51.637500,4.408929,1.012840
-8.062500,51.662500,4.287470,0.980467
-8.062500,51.687500,4.052827,0.925461
-8.062500,51.712500,3.716186,0.887522
-8.062500,51.737500,3.363454,0.894936
-8.062500,51.762500,2.827226,0.817230
-8.062500,51.787500,2.200479,0.678351
-8.062500,51.812500,-9999.000000,-9999.000000
-8.062500,51.837500,-9999.000000,-9999.000000
-8.062500,51.862500,-9999.000000,-9999.000000
-8.062500,51.887500,-9999.000000,-9999.000000
-8.062500,51.912500,-9999.000000,-9999.000000
-8.062500,51.937500,-9999.000000,-9999.000000
-8.062500,51.962500,-9999.000000,-9999.000000
-8.062500,51.987500,-9999.000000,-9999.000000
-8.062500,52.012500,-9999.000000,-9999.000000
-8.062500,52.037500,-9999.000000,-9999.000000
-8.062500,52.062500,-9999.000000,-9999.000000
-8.062500,52.087500,-9999.000000,-9999.000000
-8.062500,52.112500,-9999.000000,-9999.000000
-8.062500,52.137500,-9999.000000,-9999.000000
-8.062500,52.162500,-9999.000000,-9999.000000
-8.062500,52.187500,-9999.000000,-9999.000000
-8.062500,52.212500,-9999.000000,-9999.000000
-8.062500,52.237500,-9999.000000,-9999.000000
-8.062500,52.262500,-9999.000000,-9999.000000
-8.062500,52.287500,-9999.000000,-9999.000000
-8.062500,52.312500,-9999.000000,-9999.000000
-8.062500,52.337500,-9999.000000,-9999.000000
-8.062500,52.362500,-9999.000000,-9999.000000
-8.062500,52.387500,-9999.000000,-9999.000000
-8.062500,52.412500,-9999.000000,-9999.000000
-8.062500,52.437500,-9999.000000,-9999.000000
-8.062500,52.462500,-9999.000000,-9999.000000
-8.062500,52.487500,-9999.000000,-9999.000000
-8.062500,52.512500,-9999.000000,-9999.000000
-8.062500,52.537500,-9999.000000,-9999.000000
-8.062500,52.562500,-9999.000000,-9999.000000
-8.062500,52.587500,-9999.000000,-9999.000000
-8.062500,52.612500,-9999.000000,-9999.000000
-8.062500,52.637500,-9999.000000,-9999.000000
-8.062500,52.662500,-9999.000000,-9999.000000
-8.062500,52.687500,-9999.000000,-9999.000000
-8.062500,52.712500,-9999.000000,-9999.000000
-8.062500,52.737500,-9999.000000,-9999.000000
-8.062500,52.762500,-9999.000000,-9999.000000
-8.062500,52.787500,-9999.000000,-9999.000000
-8.062500,52.812500,-9999.000000,-9999.000000
-8.062500,52.837500,-9999.000000,-9999.000000
-8.062500,52.862500,-9999.000000,-9999.000000
-8.062500,52.887500,-9999.000000,-9999.000000
-8.062500,52.912500,-9999.000000,-9999.000000
-8.062500,52.937500,-9999.000000,-9999.000000
-8.062500,52.962500,-9999.000000,-9999.000000
-8.062500,52.987500,-9999.000000,-9999.000000
-8.062500,53.012500,-9999.000000,-9999.000000
-8.062500,53.037500,-9999.000000,-9999.000000
-8.062500,53.062500,-9999.000000,-9999.000000
-8.062500,53.087500,-9999.000000,-9999.000000
-8.062500,53.112500,-9999.000000,-9999.000000
-8.062500,53.137500,-9999.000000,-9999.000000
-8.062500,53.162500,-9999.000000,-9999.000000
-8.062500,53.187500,-9999.000000,-9999.000000
-8.062500,53.212500,-9999.000000,-9999.000000
-8.062500,53.237500,-9999.000000,-9999.000000
-8.062500,53.262500,-9999.000000,-9999.000000
-8.062500,53.287500,-9999.000000,-9999.000000
-8.062500,53.312500,-9999.000000,-9999.000000
-8.062500,53.337500,-9999.000000,-9999.000000
-8.062500,53.362500,-9999.000000,-9999.000000
-8.062500,53.387500,-9999.000000,-9999.000000
-8.062500,53.412500,-9999.000000,-9999.000000
-8.062500,53.437500,-9999.000000,-9999.000000
